  Board ID    September Module    ASIC      MIP       RMS    N    Median      Min      Max
----------  ------------------  ------  -------  --------  ---  --------  -------  -------
        53                   0       0  40.2045  1.04449    10   40.5515  38.0843  41.9172
        53                   0       1  34.7825  0.832612    6   34.8755  33.4693  35.8585
        53                   0       2  38.9425  1.06537    10   39.0152  36.8677  40.9999
        53                   0       3  37.3194  1.09368     5   37.0429  35.9005  39.193
        55                   1       0  40.4047  0.774739   12   40.1318  39.256   41.4856
        55                   1       1  40.6266  0.809069    5   40.8802  39.4661  41.7531
        55                   1       2  40.7535  0.833624   10   40.8279  39.4927  41.8135
        55                   1       3  39.5211  0.349715    3   39.4194  39.1527  39.991
        71                   2       0  34.0743  0.597923    5   34.3197  33.1994  34.8981
        71                   2       1  29.4625  0.552359    6   29.7018  28.3611  29.9648
        71                   2       2  31.7093  0.624183   10   31.6653  30.5572  32.9239
        71                   2       3  30.196   0.507192    5   30.075   29.4692  31.0307
        63                   3       0  40.7583  1.33124    12   40.7954  37.47    42.6607
        63                   3       1  38.5781  1.15173    10   38.2872  37.139   40.3674
        63                   3       2  42.3927  0.551376   13   42.4295  41.5059  43.3272
        63                   3       3  41.7118  0.754358    5   41.8302  40.7442  42.6028
         0                   4       0  41.7536  1.47319     8   41.434   40.2186  44.9923
         0                   4       1  44.216   1.40957     9   44.5039  42.1969  46.798
         0                   4       2  44.3066  2.29753     9   44.6774  39.9409  46.7494
         0                   4       3  46.7597  0.815003    4   46.9469  45.4763  47.6687
        62                   5       0  39.4967  1.29221    12   39.3405  36.7284  41.2905
        62                   5       1  40.277   1.36984     5   40.6497  37.6737  41.7071
        62                   5       2  38.3649  0.907361   12   38.4746  36.8213  39.9906
        62                   5       3  38.2917  0.754247    4   38.3158  37.3804  39.1549
        48                   6       0  42.5183  0.751801    6   42.5755  41.3054  43.7416
        48                   6       1  39.1632  0.863097    4   39.4154  37.7457  40.0764
        48                   6       2  38.3728  0.581148    9   38.3164  37.4594  39.6246
        48                   6       3  37.9243  0.902364    5   38.0983  36.484   39.2718
        43                   7       0  41.9495  1.38138     6   42.7129  39.1018  42.9325
        43                   7       1  40.126   0.675243    7   40.4568  38.9386  40.915
        43                   7       2  42.2512  1.16232    12   42.4121  40.2415  43.97
        43                   7       3  42.4764  0.651845   10   42.504   41.2184  43.4457
        38                   8       0  39.9864  0.587636    5   39.9635  39.1076  40.8726
        38                   8       1  39.0394  1.11843     7   39.2207  37.6402  40.5275
        38                   8       2  37.9862  0.930314   10   38.1344  36.0004  39.2041
        38                   8       3  38.1171  0.685355    7   38.1142  37.099   39.4579
        42                   9       0  39.0012  0.043647    2   39.0012  38.9576  39.0449
        42                   9       1  38.9473  1.03363     3   38.7323  37.8026  40.307
        42                   9       2  37.0605  1.33625    10   36.7204  35.7755  40.1842
        42                   9       3  39.28    0.99328    10   39.3966  37.187   40.8287
        59                  10       0  40.0442  0.570969    6   39.9452  39.3556  41.0512
        59                  10       1  39.8342  0.82165     6   39.9728  38.4396  40.8543
        59                  10       2  42.5328  1.06521    10   42.3392  41.0419  44.2574
        59                  10       3  40.9845  1.17429    13   41.0931  39.3494  43.0043
        39                  11       0  40.4414  0.982163    5   40.7683  38.6167  41.5191
        39                  11       1  39.9435  0.58051     5   40.1133  39.1824  40.7594
        39                  11       2  38.3992  1.13731    10   38.3241  36.4722  39.917
        39                  11       3  37.7696  1.66714    12   38.2801  32.8261  39.5202
        46                  12       0  32.6325  0.613774    5   32.6844  31.7628  33.6086
        46                  12       1  34.0054  0.812486    8   34.0279  32.3763  35.3436
        46                  12       2  33.3743  0.829846   10   33.3414  31.7674  34.6289
        46                  12       3  32.362   1.11077    10   32.5318  30.2344  34.2767
        45                  13       0  37.6638  1.27758     4   38.1092  35.5914  38.8453
        45                  13       1  38.6493  0.876202    5   38.3843  37.7115  40.0982
        45                  13       2  36.4812  0.693529    8   36.5867  35.0368  37.4037
        45                  13       3  36.8025  1.2099     12   36.6836  34.631   39.369
        75                  14       0  39.8991  1.33619     4   39.5042  38.504   42.0839
        75                  14       1  43.4755  0.646642    4   43.736   42.394   44.0361
        75                  14       2  40.4684  1.33421    13   39.8822  39.2426  43.7779
        75                  14       3  35.0268  1.10656    16   34.9742  33.4694  37.2705
        64                  15       0  37.7602  2.09596     4   38.69    34.265   39.3959
        64                  15       1  37.6903  1.77228     6   37.4972  35.131   40.7134
        64                  15       2  38.6482  1.13228    12   38.896   35.5881  40.1075
        64                  15       3  36.6679  1.2361     12   37.0623  34.6343  38.7329
        66                  16       0  41.5572  1.18424     4   41.2804  40.3328  43.3352
        66                  16       1  41.948   0.850516    7   41.6599  40.8151  43.0975
        66                  16       2  41.6264  0.781733   15   41.8168  40.1809  43.1144
        66                  16       3  40.8333  0.962189    7   40.3173  40.0489  42.5312
